location,context,source,target
digcomp.statement.1.1.basic.01,digcomp.statement.1.1.basic.01,"Acknowledge the benefits of using different digital search tools and methods, depending on one’s purpose.",
digcomp.statement.1.1.basic.01.ai_label,digcomp.statement.1.1.basic.01.ai_label,AI-Implicit,
digcomp.statement.1.1.basic.02,digcomp.statement.1.1.basic.02,Identify the main features of commonly-used AI-driven and traditional search tools.,
digcomp.statement.1.1.basic.02.ai_label,digcomp.statement.1.1.basic.02.ai_label,AI-Explicit,
digcomp.statement.1.1.basic.03,digcomp.statement.1.1.basic.03,"Recognise that digital search results or outputs can contain information that may not be relevant, and that they depend on the digital search tool used and the way that an individual specifies the search.",
digcomp.statement.1.1.basic.03.ai_label,digcomp.statement.1.1.basic.03.ai_label,AI-Implicit,
digcomp.statement.1.1.basic.04,digcomp.statement.1.1.basic.04,"Use digital search tools to implement, refine and update basic information searches.",
digcomp.statement.1.1.basic.04.ai_label,digcomp.statement.1.1.basic.04.ai_label,AI-Implicit,
digcomp.statement.1.1.intermediate.05,digcomp.statement.1.1.intermediate.05,Purposefully explore new digital search tools and strategies.,
digcomp.statement.1.1.intermediate.05.ai_label,digcomp.statement.1.1.intermediate.05.ai_label,AI-Implicit,
digcomp.statement.1.1.intermediate.06,digcomp.statement.1.1.intermediate.06,Select appropriate digital search tools based on information needs.,
digcomp.statement.1.1.intermediate.06.ai_label,digcomp.statement.1.1.intermediate.06.ai_label,AI-Implicit,
digcomp.statement.1.1.intermediate.07,digcomp.statement.1.1.intermediate.07,Distinguish between more and less relevant digital search results or outputs.,
digcomp.statement.1.1.intermediate.07.ai_label,digcomp.statement.1.1.intermediate.07.ai_label,AI-Implicit,
digcomp.statement.1.1.intermediate.08,digcomp.statement.1.1.intermediate.08,"Translate information needs into effective digital search queries, commands or statements, and apply appropriate strategies to refine or filter results.",
digcomp.statement.1.1.intermediate.08.ai_label,digcomp.statement.1.1.intermediate.08.ai_label,AI-Implicit,
digcomp.statement.1.1.advanced.09,digcomp.statement.1.1.advanced.09,Continually explore functions and features of familiar and novel digital search tools to deepen capabilities.,
digcomp.statement.1.1.advanced.09.ai_label,digcomp.statement.1.1.advanced.09.ai_label,AI-Implicit,
digcomp.statement.1.1.advanced.10,digcomp.statement.1.1.advanced.10,Combine a variety of digital search tools and strategies to address complex information needs.,
digcomp.statement.1.1.advanced.10.ai_label,digcomp.statement.1.1.advanced.10.ai_label,AI-Implicit,
digcomp.statement.1.1.advanced.11,digcomp.statement.1.1.advanced.11,Assist others in developing their digital search capabilities.,
digcomp.statement.1.1.advanced.11.ai_label,digcomp.statement.1.1.advanced.11.ai_label,AI-Implicit,
digcomp.statement.1.1.highly_advanced.12,digcomp.statement.1.1.highly_advanced.12,Stay informed about developments in digital search technologies.,
digcomp.statement.1.1.highly_advanced.12.ai_label,digcomp.statement.1.1.highly_advanced.12.ai_label,AI-Implicit,
digcomp.statement.1.1.highly_advanced.13,digcomp.statement.1.1.highly_advanced.13,Combine a variety of digital search tools and strategies to address highly complex or specialised information needs.,
digcomp.statement.1.1.highly_advanced.13.ai_label,digcomp.statement.1.1.highly_advanced.13.ai_label,AI-Implicit,
digcomp.statement.1.1.highly_advanced.14,digcomp.statement.1.1.highly_advanced.14,Assist others to implement and refine complex or specialised searches in digital environments.,
digcomp.statement.1.1.highly_advanced.14.ai_label,digcomp.statement.1.1.highly_advanced.14.ai_label,AI-Implicit,
digcomp.statement.1.1.highly_advanced.15,digcomp.statement.1.1.highly_advanced.15,Contribute to improvements in or new solutions for complex or specialised searches in digital environments.,
digcomp.statement.1.1.highly_advanced.15.ai_label,digcomp.statement.1.1.highly_advanced.15.ai_label,AI-Implicit,
digcomp.statement.1.2.basic.01,digcomp.statement.1.2.basic.01,Acknowledge the benefits of a cautious approach in interpreting information and content in digital environments.,
digcomp.statement.1.2.basic.01.ai_label,digcomp.statement.1.2.basic.01.ai_label,AI-Implicit,
digcomp.statement.1.2.basic.02,digcomp.statement.1.2.basic.02,Recognise that some digital information sources and systems may not be trustworthy.,
digcomp.statement.1.2.basic.02.ai_label,digcomp.statement.1.2.basic.02.ai_label,AI-Implicit,
digcomp.statement.1.2.basic.03,digcomp.statement.1.2.basic.03,Recognise that it can be difficult to distinguish between information and content generated by humans and AI systems.,
digcomp.statement.1.2.basic.03.ai_label,digcomp.statement.1.2.basic.03.ai_label,AI-Explicit,
