location,context,source,target
digcomp.level.basic.title,digcomp.level.basic.title,Basic,
digcomp.level.basic.description,digcomp.level.basic.description,"At basic level, individuals remember and implement simple tasks with guidance as needed.",
digcomp.level.basic.purpose,digcomp.level.basic.purpose,"To support personal, learning and/or working goals and participate in society.",
digcomp.level.intermediate.title,digcomp.level.intermediate.title,Intermediate,
digcomp.level.intermediate.description,digcomp.level.intermediate.description,"At intermediate level, individuals identify and implement well-defined tasks and solve well-defined problems autonomously.",
digcomp.level.intermediate.purpose,digcomp.level.intermediate.purpose,"To support personal, learning and/or working goals and participate autonomously in society.",
digcomp.level.advanced.title,digcomp.level.advanced.title,Advanced,
digcomp.level.advanced.description,digcomp.level.advanced.description,"At advanced level, individuals assess and apply solutions to a variety of complex tasks autonomously and adapt to a variety of contexts to evaluate and execute tasks appropriately, guiding others if and as required.",
digcomp.level.advanced.purpose,digcomp.level.advanced.purpose,"To support personal, learning and/or working goals, participate effectively in society, and manage or support others in achieving their goals.",
digcomp.level.highly_advanced.title,digcomp.level.highly_advanced.title,Highly advanced,
digcomp.level.highly_advanced.description,digcomp.level.highly_advanced.description,"At highly advanced level, individuals assess, evaluate and resolve highly complex or specialised problems to create new solutions or adapt existing ones, leading and guiding others if and as required.",
digcomp.level.highly_advanced.purpose,digcomp.level.highly_advanced.purpose,"To support personal, learning and/or working goals, help others to participate effectively in society, lead or support others to achieve complex goals, and/or lead or contribute to improvements in or new solutions for highly complex problems.",
