location,context,source,target
digcomp.outcome.1.1.basic.a.01,digcomp.outcome.1.1.basic.a.01,"Acknowledge the benefits of using different digital search tools and methods, depending on one’s purpose.",
digcomp.outcome.1.1.basic.a.01.ai_label,digcomp.outcome.1.1.basic.a.01.ai_label,AI-Implicit,
digcomp.outcome.1.1.basic.k.02,digcomp.outcome.1.1.basic.k.02,Recognise that the results or outputs of a search depend on the digital search tool used and the way that an individual specifies the search.,
digcomp.outcome.1.1.basic.k.02.ai_label,digcomp.outcome.1.1.basic.k.02.ai_label,AI-Implicit,
digcomp.outcome.1.1.basic.k.03,digcomp.outcome.1.1.basic.k.03,Recognise that search results or outputs can contain information that may not be relevant.,
digcomp.outcome.1.1.basic.k.03.ai_label,digcomp.outcome.1.1.basic.k.03.ai_label,AI-Implicit,
digcomp.outcome.1.1.basic.k.04,digcomp.outcome.1.1.basic.k.04,Identify the main features of commonly-used AI-driven and traditional digital search tools.,
digcomp.outcome.1.1.basic.k.04.ai_label,digcomp.outcome.1.1.basic.k.04.ai_label,AI-Explicit,
digcomp.outcome.1.1.basic.s.05,digcomp.outcome.1.1.basic.s.05,Use digital search tools to implement basic information searches.,
digcomp.outcome.1.1.basic.s.05.ai_label,digcomp.outcome.1.1.basic.s.05.ai_label,AI-Implicit,
digcomp.outcome.1.1.basic.s.06,digcomp.outcome.1.1.basic.s.06,Use digital search tools to refine or update existing results or outputs.,
digcomp.outcome.1.1.basic.s.06.ai_label,digcomp.outcome.1.1.basic.s.06.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.a.07,digcomp.outcome.1.1.intermediate.a.07,Purposefully explore new digital search tools and search functionalities.,
digcomp.outcome.1.1.intermediate.a.07.ai_label,digcomp.outcome.1.1.intermediate.a.07.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.k.08,digcomp.outcome.1.1.intermediate.k.08,Identify strategies that provide more relevant digital search results or outputs.,
digcomp.outcome.1.1.intermediate.k.08.ai_label,digcomp.outcome.1.1.intermediate.k.08.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.k.09,digcomp.outcome.1.1.intermediate.k.09,Distinguish between more and less relevant digital search results or outputs.,
digcomp.outcome.1.1.intermediate.k.09.ai_label,digcomp.outcome.1.1.intermediate.k.09.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.s.10,digcomp.outcome.1.1.intermediate.s.10,Select appropriate digital search tools based on information needs.,
digcomp.outcome.1.1.intermediate.s.10.ai_label,digcomp.outcome.1.1.intermediate.s.10.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.s.11,digcomp.outcome.1.1.intermediate.s.11,"Translate information needs into effective digital search queries, commands or statements.",
digcomp.outcome.1.1.intermediate.s.11.ai_label,digcomp.outcome.1.1.intermediate.s.11.ai_label,AI-Implicit,
digcomp.outcome.1.1.intermediate.s.12,digcomp.outcome.1.1.intermediate.s.12,Apply appropriate strategies to refine or filter existing digital results or outputs.,
digcomp.outcome.1.1.intermediate.s.12.ai_label,digcomp.outcome.1.1.intermediate.s.12.ai_label,AI-Implicit,
digcomp.outcome.1.1.advanced.a.13,digcomp.outcome.1.1.advanced.a.13,Continually explore functions and features of familiar and novel digital search tools.,
digcomp.outcome.1.1.advanced.a.13.ai_label,digcomp.outcome.1.1.advanced.a.13.ai_label,AI-Implicit,
digcomp.outcome.1.1.advanced.a.14,digcomp.outcome.1.1.advanced.a.14,Prioritise deepening one's existing search capabilities.,
digcomp.outcome.1.1.advanced.a.14.ai_label,digcomp.outcome.1.1.advanced.a.14.ai_label,AI-Implicit,
digcomp.outcome.1.1.advanced.s.15,digcomp.outcome.1.1.advanced.s.15,Combine a variety of digital search tools and strategies to address complex information needs.,
digcomp.outcome.1.1.advanced.s.15.ai_label,digcomp.outcome.1.1.advanced.s.15.ai_label,AI-Implicit,
digcomp.outcome.1.1.advanced.s.16,digcomp.outcome.1.1.advanced.s.16,Assist others in developing their digital search capabilities.,
digcomp.outcome.1.1.advanced.s.16.ai_label,digcomp.outcome.1.1.advanced.s.16.ai_label,AI-Implicit,
digcomp.outcome.1.1.highly_advanced.a.17,digcomp.outcome.1.1.highly_advanced.a.17,Stay informed about developments in digital search technologies.,
digcomp.outcome.1.1.highly_advanced.a.17.ai_label,digcomp.outcome.1.1.highly_advanced.a.17.ai_label,AI-Implicit,
digcomp.outcome.1.1.highly_advanced.s.18,digcomp.outcome.1.1.highly_advanced.s.18,Assess and evaluate developments in digital search technologies in a given context to support decision-making.,
digcomp.outcome.1.1.highly_advanced.s.18.ai_label,digcomp.outcome.1.1.highly_advanced.s.18.ai_label,AI-Implicit,
digcomp.outcome.1.1.highly_advanced.s.19,digcomp.outcome.1.1.highly_advanced.s.19,Combine a variety of digital search tools and strategies to address highly complex or specialised information needs.,
digcomp.outcome.1.1.highly_advanced.s.19.ai_label,digcomp.outcome.1.1.highly_advanced.s.19.ai_label,AI-Implicit,
